Game,24hr_Peak,All-Time_Peak
Total War: WARHAMMER III,17843,166754
Total War: THREE KINGDOMS,7997,192298
Total War: ROME II - Emperor Edition,5662,118240
Total War: MEDIEVAL II - Definitive Edition,4282,8453
Total War: WARHAMMER II,3276,84920
Total War: EMPIRE - Definitive Edition,3021,27559
Total War: ATTILA,2377,26346
Total War: NAPOLEON - Definitive Edition,1569,9935
Total War: ROME REMASTERED,585,18526
Rome: Total War,502,4413
Total War: WARHAMMER,566,113019
A Total War Saga: Thrones of Britannia,331,22797
A Total War Saga: TROY,111,4704
